lat_deg,lon_deg
33.60610153,73.13109775
33.60542242,73.13159438
33.60542587,73.13158688
33.60542810,73.13158017
33.60542900,73.13157529
33.60542893,73.13157140
33.60542825,73.13156839
33.60542671,73.13156524
33.60542444,73.13156301
33.60542054,73.13156302
33.60541800,73.13156156
33.60543452,73.13152804
33.60542498,73.13153576
33.60541552,73.13154368
33.60542961,73.13153105
33.60542706,73.13154104
33.60541628,73.13154879
33.60540497,73.13155659
33.60539319,73.13156545
33.60538166,73.13157396
33.60536987,73.13158285
33.60535816,73.13159135
33.60534656,73.13160024
33.60533437,73.13160904
33.60532265,73.13161722
33.60531142,73.13162504
33.60529999,73.13163309
33.60528912,73.13164123
33.60527755,73.13164951
33.60526579,73.13165860
33.60525436,73.13166689
33.60524290,73.13167580
33.60523163,73.13168366
33.60521984,73.13169184
33.60521838,73.13183274
33.60507505,73.13181685
33.60486752,73.13194481
33.60486059,73.13194811
33.60485299,73.13195274
33.60484454,73.13195793
33.60483609,73.13196311
33.60482842,73.13196791
33.60481827,73.13197533
33.60480870,73.13198151
33.60479971,73.13198692
33.60478872,73.13199549
33.60477905,73.13200176
33.60472780,73.13206101
33.60471478,73.13207102
33.60470180,73.13208179
33.60472773,73.13204156
33.60471858,73.13205301
33.60470667,73.13206202
33.60468256,73.13208049
33.60467012,73.13209004
33.60465854,73.13209841
33.60464614,73.13210729
33.60463368,73.13211697
33.60462189,73.13212570
33.60461046,73.13213413
33.60459854,73.13214370
33.60458601,73.13215325
33.60457421,73.13216209
33.60456276,73.13217059
33.60455041,73.13218014
33.60453751,73.13218967
33.60452524,73.13219894
33.60451296,73.13220786
33.60450071,73.13221712
33.60448789,73.13222649
33.60420703,73.13234163
33.60418859,73.13236074
33.60417029,73.13237857
33.60415193,73.13239656
33.60413427,73.13241429
33.60411562,73.13243290
33.60409815,73.13244954
33.60408043,73.13246665
33.60406421,73.13248185
33.60394580,73.13261507
33.60395697,73.13260524
33.60394373,73.13261596
33.60393063,73.13262653
33.60391718,73.13263726
33.60390408,73.13264773
33.60389069,73.13265832
33.60387762,73.13266901
33.60386422,73.13267950
33.60385128,73.13268762
33.60383788,73.13269788
33.60382420,73.13270912
33.60381163,73.13271590
33.60379734,73.13272800
33.60378339,73.13273938
33.60376990,73.13274915
33.60375606,73.13276052
33.60374164,73.13277284
33.60372751,73.13278418
33.60371364,73.13279403
33.60370066,73.13280123
33.60368852,73.13281024
33.60367487,73.13281876
33.60366140,73.13282581
33.60364705,73.13283593
33.60363251,73.13284693
33.60361797,73.13285750
33.60307507,73.13313864
33.60302175,73.13322224
33.60297313,73.13328260
33.60294219,73.13332021
33.60289543,73.13337645
33.60286603,73.13341414
33.60284495,73.13343766
33.60282365,73.13345822
33.60279492,73.13348481
33.60276538,73.13351262
33.60275521,73.13352119
33.60272820,73.13354834
33.60287440,73.13339073
33.60291686,73.13337439
33.60289961,73.13338689
33.60288278,73.13339905
