lat_deg,lon_deg
33.56375056,73.16257213
33.56373025,73.16258754
33.56371001,73.16260290
33.56368983,73.16261819
33.56366962,73.16263343
33.56364942,73.16264871
33.56362925,73.16266405
33.56360910,73.16267932
33.56358901,73.16269456
33.56356891,73.16270979
33.56354881,73.16272503
33.56352869,73.16274031
33.56350854,73.16275556
33.56348840,73.16277083
33.56346828,73.16278613
33.56344815,73.16280140
33.56342804,73.16281664
33.56341214,73.16283145
33.56339195,73.16284673
33.56337388,73.16285941
33.56335360,73.16287473
33.56333454,73.16289249
33.56331422,73.16290782
33.56329390,73.16292315
33.56327362,73.16293845
33.56325177,73.16295927
33.56323146,73.16297460
33.56321108,73.16298992
33.56319064,73.16300528
33.56317020,73.16302069
33.56314983,73.16303610
33.56311481,73.16305809
33.56309433,73.16307348
33.56307382,73.16308885
33.56305329,73.16310425
33.56303272,73.16311966
33.56301211,73.16313504
33.56299149,73.16315042
33.56297095,73.16316581
33.56294881,73.16317959
33.56292822,73.16319499
33.56290759,73.16321035
33.56288701,73.16322568
33.56286645,73.16324101
33.56284589,73.16325637
33.56282529,73.16327177
33.56280467,73.16328711
33.56278408,73.16330240
33.56276353,73.16331768
33.56274300,73.16333294
33.56272244,73.16334820
33.56270183,73.16336351
33.56268124,73.16337877
33.56266066,73.16339393
33.56264007,73.16340913
33.56261905,73.16342214
33.56259841,73.16343745
33.56257782,73.16345271
33.56255725,73.16346789
33.56253669,73.16348310
33.56251613,73.16349834
33.56249556,73.16351360
33.56247503,73.16352851
33.56245443,73.16354368
33.56243385,73.16355887
33.56241333,73.16357409
33.56239281,73.16358927
33.56237510,73.16360382
33.56235456,73.16361900
33.56233403,73.16363417
33.56231383,73.16364563
33.56229324,73.16366077
33.56227269,73.16367591
33.56225215,73.16369098
33.56223162,73.16370602
33.56221112,73.16372109
33.56219059,73.16373614
33.56217003,73.16375120
33.56214947,73.16376628
33.56213020,73.16378233
33.56210967,73.16379733
33.56208717,73.16380999
33.56206650,73.16382497
33.56204587,73.16383993
33.56202531,73.16385491
33.56200473,73.16386985
33.56198407,73.16388477
33.56196611,73.16390186
33.56194552,73.16391686
33.56192494,73.16393190
33.56190431,73.16394691
33.56188364,73.16396189
33.56186301,73.16397691
33.56184240,73.16399191
33.56182178,73.16400696
33.56180119,73.16402203
33.56178058,73.16403712
33.56175995,73.16405222
33.56173931,73.16406737
33.56171869,73.16408254
33.56169810,73.16409772
33.56167756,73.16411289
33.56165703,73.16412815
33.56163647,73.16414350
33.56161587,73.16415891
33.56159530,73.16417428
33.56157481,73.16418961
33.56155430,73.16420497
33.56153371,73.16422042
33.56151309,73.16423588
33.56149256,73.16425132
33.56147207,73.16426680
33.56145156,73.16428230
33.56143193,73.16429923
33.56141130,73.16431479
33.56139069,73.16433037
33.56137012,73.16434594
33.56134956,73.16436150
33.56132898,73.16437713
33.56130838,73.16439282
33.56128775,73.16440847
33.56126710,73.16442413
33.56124645,73.16443980
33.56122577,73.16445549
33.56120509,73.16447115
33.56118435,73.16448684
33.56116464,73.16450143
33.56114392,73.16451715
33.56112315,73.16453288
33.56110233,73.16454863
33.56108151,73.16456441
33.56106069,73.16458015
33.56103990,73.16459587
33.56101905,73.16461161
33.56099815,73.16462736
33.56097727,73.16464308
33.56095641,73.16465880
33.56093769,73.16467575
33.56091677,73.16469149
33.56089584,73.16470721
33.56087494,73.16472296
33.56085402,73.16473871
33.56083312,73.16475445
33.56081218,73.16477023
33.56079124,73.16478599
33.56077030,73.16480176
33.56074932,73.16481755
33.56072834,73.16483330
33.56070738,73.16484902
33.56068640,73.16486479
33.56066540,73.16488055
33.56064439,73.16489629
33.56062466,73.16491300
33.56060365,73.16492874
33.56058260,73.16494446
33.56056156,73.16496017
33.56054052,73.16497587
33.56051945,73.16499160
33.56049837,73.16500730
33.56047728,73.16502300
33.56045779,73.16503702
33.56043666,73.16505268
33.56041834,73.16506760
33.56039725,73.16508324
33.56037613,73.16509890
33.56035502,73.16511452
33.56033392,73.16513016
33.56031279,73.16514587
33.56029161,73.16516154
33.56027043,73.16517715
33.56024849,73.16519239
33.56022730,73.16520802
33.56020609,73.16522361
33.56018490,73.16523921
33.56016369,73.16525483
