utc,obssec,lat,long,altitude,vel_n(NED),vel_e(NED),vel_d(NED)
2026-02-06 11:19:45.163,472801.000000,33.598249610,73.138826710,438.139,-0.022659,-0.065214,0.351005
2026-02-06 11:19:45.322,472801.200000,33.598250040,73.138822530,438.149,0.037352,-0.130766,-0.157550
2026-02-06 11:19:45.445,472801.300000,33.598248800,73.138820550,438.154,-0.113587,0.045224,-0.122738
2026-02-06 11:19:45.573,472801.400000,33.598249620,73.138819560,438.431,0.076518,-0.076886,0.087525
2026-02-06 11:19:45.701,472801.600000,33.598249320,73.138816740,438.304,-0.016594,-0.104917,0.073769
2026-02-06 11:19:45.867,472801.700000,33.598249830,73.138815890,438.387,-0.068856,-0.263179,0.336800
2026-02-06 11:19:46.000,472801.900000,33.598250300,73.138815390,438.556,-0.019384,0.093367,0.130003
2026-02-06 11:19:46.159,472802.000000,33.598251340,73.138817380,438.998,0.110489,0.058217,0.173175
2026-02-06 11:19:46.287,472802.200000,33.598251590,73.138819400,439.195,0.033718,0.007258,-0.183112
2026-02-06 11:19:46.466,472802.300000,33.598252540,73.138821200,439.140,-0.038015,0.047360,-0.125772
2026-02-06 11:19:46.612,472802.500000,33.598251380,73.138821180,439.725,0.046684,-0.075396,0.825627
2026-02-06 11:19:46.731,472802.600000,33.598256100,73.138827380,439.480,-0.043355,0.052556,-0.041347
2026-02-06 11:19:46.890,472802.800000,33.598255810,73.138829460,439.020,0.028109,-0.115735,-0.018336
2026-02-06 11:19:47.033,472802.900000,33.598257640,73.138832050,439.005,-0.085354,0.033131,-0.387580
2026-02-06 11:19:47.225,472803.100000,33.598258060,73.138832160,439.031,0.004619,-0.119205,-0.188718
2026-02-06 11:19:47.351,472803.200000,33.598257700,73.138831100,439.561,0.041847,-0.045713,-0.141064
2026-02-06 11:19:47.526,472803.400000,33.598258440,73.138833880,439.874,0.029105,0.061455,0.125619
2026-02-06 11:19:47.817,472803.700000,33.598258640,73.138837530,439.483,-0.224373,-0.082185,-0.245927
2026-02-06 11:19:47.943,472803.800000,33.598256980,73.138835710,439.560,0.065938,0.080068,0.224657
2026-02-06 11:19:48.117,472804.000000,33.598259220,73.138840780,439.457,0.047550,0.241070,-0.176414
2026-02-06 11:19:48.260,472804.100000,33.598259550,73.138841150,439.304,-0.029959,0.061313,-0.373804
2026-02-06 11:19:48.436,472804.300000,33.598261440,73.138841990,438.964,-0.093737,0.066465,-0.132173
2026-02-06 11:19:48.588,472804.500000,33.598265520,73.138847570,438.550,-0.016979,0.030941,0.064735
2026-02-06 11:19:48.779,472804.600000,33.598268080,73.138849720,438.641,-0.070215,0.056468,0.083761
2026-02-06 11:19:48.844,472804.700000,33.598268820,73.138849540,438.482,-0.057851,-0.188641,-0.839659
2026-02-06 11:19:48.927,472804.800000,33.598269750,73.138851750,438.245,0.010503,0.180174,-0.029762
2026-02-06 11:19:48.988,472804.900000,33.598270010,73.138849020,438.397,0.082867,0.089217,0.408587
2026-02-06 11:19:49.123,472805.000000,33.598269550,73.138848050,438.199,-0.024722,0.053510,-0.114606
2026-02-06 11:19:49.255,472805.100000,33.598270560,73.138849130,438.207,-0.005298,0.067178,-0.218306
2026-02-06 11:19:49.413,472805.300000,33.598272100,73.138849090,437.710,-0.057753,-0.418831,0.114925
2026-02-06 11:19:49.580,472805.500000,33.598272760,73.138848110,437.960,-0.084532,0.106402,-0.088775
2026-02-06 11:19:49.720,472805.600000,33.598270360,73.138844900,438.094,0.090830,0.014643,0.343636
2026-02-06 11:19:49.911,472805.800000,33.598270790,73.138847000,437.923,-0.047777,0.086526,0.177271
2026-02-06 11:19:50.049,472805.900000,33.598270010,73.138846870,438.276,-0.163171,0.177120,-0.441165
2026-02-06 11:19:50.208,472806.100000,33.598269140,73.138846990,438.477,0.086205,-0.116022,0.147574
2026-02-06 11:19:50.336,472806.200000,33.598267000,73.138847070,438.427,-0.013452,-0.084364,-0.042667
2026-02-06 11:19:50.421,472806.300000,33.598267910,73.138849070,438.085,-0.147213,-0.086090,-0.005965
2026-02-06 11:19:50.527,472806.400000,33.598268550,73.138849400,438.473,0.152805,0.022945,0.064789
2026-02-06 11:19:50.590,472806.500000,33.598267890,73.138850990,438.478,-0.040234,0.152681,0.038672
2026-02-06 11:19:50.764,472806.600000,33.598266800,73.138849790,438.552,0.003190,-0.073652,0.208775
2026-02-06 11:19:50.892,472806.800000,33.598269400,73.138856690,437.393,0.007694,-0.229152,0.030220
2026-02-06 11:19:51.021,472806.900000,33.598269730,73.138858910,437.331,0.093763,0.085743,-0.085033
2026-02-06 11:19:51.194,472807.100000,33.598270820,73.138863070,436.906,-0.061612,-0.075049,0.025226
2026-02-06 11:19:51.375,472807.200000,33.598270210,73.138862470,436.918,0.085740,-0.063687,0.425373
2026-02-06 11:19:51.578,472807.500000,33.598272840,73.138866010,436.408,0.109454,-0.086110,0.165000
2026-02-06 11:19:51.770,472807.600000,33.598273450,73.138865630,436.078,-0.067429,-0.188364,-0.152544
2026-02-06 11:19:51.913,472807.800000,33.598273570,73.138867240,435.732,0.155668,0.277387,-0.009578
2026-02-06 11:19:52.104,472808.000000,33.598273550,73.138863480,435.801,0.183876,-0.156387,0.404153
2026-02-06 11:19:52.248,472808.100000,33.598273260,73.138860500,435.555,-0.049102,0.033639,-0.043018
2026-02-06 11:19:52.311,472808.200000,33.598272490,73.138858280,435.389,0.072141,0.017480,0.121982
