12:00.5,454339.5,33.6073235,73.13031981,447.648,0.059838,0.067279,0.160304
12:00.6,454339.6,33.60732342,73.13031963,447.044,-0.11741,0.10619,0.41344
12:00.7,454339.7,33.60732368,73.13032022,447.376,0.123033,-0.224921,-0.539018
12:00.8,454339.8,33.60731809,73.13032374,447.869,0.231386,-0.011731,0.567263
12:01.5,454340.3,33.60738922,73.13031271,448.315,-0.278605,-0.014599,-1.610309
12:01.8,454340.5,33.60738574,73.13029878,448.897,-0.968897,0.212534,0.946199
12:02.5,454341.1,33.60743008,73.13030169,453.663,-1.248019,0.236809,0.386185
12:03.9,454342.3,33.60733006,73.13039124,448.684,-1.415149,2.789221,-5.944874
12:05.3,454343.5,33.60801676,73.13042762,540.331,-1.38683,5.212634,-2.242581
12:05.8,454344.8,33.60746509,73.1303348,454.374,-0.945392,0.155089,0.692607
12:08.2,454347.2,33.60723526,73.13032987,449.897,0.128755,-0.726487,1.710072
12:08.3,454347.3,33.60727644,73.13032977,453.439,-0.076413,0.018157,-0.298206
12:08.4,454347.4,33.60725326,73.13032755,450.416,0.215948,-0.131449,2.308783
12:08.6,454347.5,33.60724209,73.13032603,448.31,-0.059216,0.609743,-1.561208
12:08.6,454347.6,33.60726263,73.13032436,450.281,0.189205,-0.965669,2.766787
12:08.7,454347.7,33.60722366,73.13032733,447.706,0.108066,0.379617,-0.147085
12:08.8,454347.8,33.6071918,73.13032654,443.978,-0.18841,0.802942,-3.746291
12:08.9,454347.9,33.60719986,73.13032685,444.579,-0.101579,-0.348926,1.682815
12:09.0,454348,33.60719557,73.1303219,442.399,0.090053,0.394991,-0.92014
12:09.1,454348.1,33.60718359,73.13032146,441.051,0.077341,0.164999,-0.383941
12:09.2,454348.2,33.60720506,73.13031986,442.481,0.368377,-0.447113,3.244795
12:09.3,454348.3,33.60720595,73.13032014,442.506,0.007992,-0.861211,2.211433
12:09.4,454348.4,33.60718812,73.13032357,441.259,0.165666,-0.0781,1.073574
12:09.7,454348.6,33.60722098,73.13032283,444.2,0.041738,-0.496871,1.024808
12:10.1,454349,33.60719994,73.13031835,441.685,-0.307391,1.821174,-5.311964
12:13.8,454352.8,33.6072606,73.13031556,445.083,0.163394,0.236659,0.416143
12:13.9,454352.9,33.60724527,73.13031341,442.614,0.075294,0.194216,0.777679
12:14.0,454353,33.60723818,73.13031285,441.96,0.059558,0.037614,0.695464
12:14.1,454353.1,33.60725087,73.13031304,442.771,-0.113857,0.343761,-1.807506
12:14.2,454353.2,33.6072482,73.13031805,444.432,-0.468117,-0.192521,-1.346175
12:14.4,454353.3,33.60726063,73.13031746,445.108,0.002052,-0.249233,0.326537
